game_id,season,week,CONSTANT_SCALE_NO_KEY_integer_log_score,CONDITIONAL_SCALE_NO_KEY_integer_log_score,CONSTANT_SCALE_KEY_integer_log_score,FULL_CONDITIONAL_SCALE_KEY_integer_log_score
2022_17_MIA_NE,2022,17,3.4804175217657325,3.4786830894770002,3.6786873304725463,3.689365688327062
2022_17_MIN_GB,2022,17,4.807648370083008,4.798403519505647,4.877383804416726,4.853678330306883
2022_17_NO_PHI,2022,17,4.216142762934534,4.218425410088841,4.335196014982583,4.339127540951458
2022_17_NYJ_SEA,2022,17,4.46565747936435,4.462966991905125,4.570187760812889,4.551207742923423
2022_17_PIT_BAL,2022,17,3.5275837776897863,3.520336420119727,2.564871166212584,2.5704288512940856
2022_17_SF_LV,2022,17,3.6308476340383122,3.6232060421865455,2.6283628932002974,2.59903292220523
2022_18_ARI_SF,2022,18,3.8537932437467473,3.8493085196153967,3.964999873313485,3.9481517348648145
2022_18_BAL_CIN,2022,18,3.477268001397251,3.4613061100469733,3.6435603672085732,3.6012303953936007
2022_18_CAR_NO,2022,18,3.6097813145710713,3.6080082989329076,2.635170162863799,2.6341004857303307
2022_18_CLE_PIT,2022,18,3.888340942587633,3.8877458137103527,4.046940350454646,4.050376826535224
2022_18_DAL_WAS,2022,18,5.693275933582442,5.722170339027329,5.6680330624196085,5.728758365232887
2022_18_DET_GB,2022,18,3.75896850810431,3.7609587803617797,3.9226922195682477,3.92573647072542
2022_18_HOU_IND,2022,18,3.5275837776897863,3.521460990316683,3.7211140040162354,3.726796611852746
2022_18_KC_LV,2022,18,3.730330246035239,3.73167130418882,3.8819842664197974,3.8756851500530973
2022_18_LAC_DEN,2022,18,3.5055906981389526,3.4961137326507776,2.5339536112997103,2.5165537313692545
2022_18_LA_SEA,2022,18,3.496942024158061,3.492070821286404,2.5279463253699195,2.5170454613086948
2022_18_MIN_CHI,2022,18,3.75896850810431,3.756759358042432,3.9190184567247623,3.916037805939491
2022_18_NE_BUF,2022,18,3.527583777689788,3.5230578964125048,3.7042768388016944,3.6900318335624527
2022_18_NYG_PHI,2022,18,3.820708973979078,3.8150543341385204,3.920052468256238,3.893395269504591
2022_18_NYJ_MIA,2022,18,3.4843535234944216,3.476232554914962,3.6811762222352082,3.6837244491942167
2022_18_TB_ATL,2022,18,3.6308476340383122,3.625905725374172,3.8055320007009223,3.8003411880159685
2022_18_TEN_JAX,2022,18,3.4898622491881337,3.481503003000459,3.6786676379659484,3.669469967169848
2023_01_ARI_WAS,2023,1,3.452172237418235,3.438674549473543,3.677272993064051,3.6593695545229554
2023_01_BUF_NYJ,2023,1,3.6925381313749277,3.6919699631147966,3.8728080528685607,3.8820129404449273
2023_01_CAR_ATL,2023,1,3.8320597465301116,3.83026061700345,3.9791218702571896,3.98147231858679
2023_01_CIN_CLE,2023,1,5.043494356517233,5.039047682539146,5.009585683547582,4.965149125166898
2023_01_DAL_NYG,2023,1,7.082456532578372,7.087492768898401,7.111080826336824,7.059587262493477
2023_01_DET_KC,2023,1,3.5139744546082383,3.5252972015342103,3.733874449724433,3.7501461352511596
2023_01_GB_CHI,2023,1,4.673468236204852,4.68407947132501,4.679138179469992,4.660608501336714
2023_01_HOU_BAL,2023,1,3.5798372235017184,3.578020624359225,3.7612442877206687,3.7433467403984815
2023_01_JAX_IND,2023,1,3.556064780547148,3.556644540109766,3.7655774655089167,3.7730199772918276
2023_01_LA_SEA,2023,1,4.979846979494298,4.980050550212751,4.945316192582616,4.939111905714651
2023_01_LV_DEN,2023,1,3.4792960689156502,3.4756593381389975,3.7101856541324083,3.7201317542328853
2023_01_MIA_LAC,2023,1,3.5139744546082383,3.5218493899000185,3.7361727537022884,3.754251031617079
2023_01_PHI_NE,2023,1,3.425890012513531,3.424754264586694,3.669327463173664,3.6796607073665637
2023_01_SF_PIT,2023,1,4.979846979494298,4.992568135571327,4.951242559361368,4.926363789813976
2023_01_TB_MIN,2023,1,3.6053967413587507,3.605299147511431,2.641734980423018,2.641275758761404
2023_01_TEN_NO,2023,1,3.432715972996639,3.424712498811367,3.675468343618593,3.6831728687552956
2023_02_BAL_CIN,2023,2,3.5798372235017166,3.580355111336825,2.623562225816414,2.6258710497708018
2023_02_CHI_TB,2023,2,3.6327180838888005,3.62795582280369,3.826981849962243,3.834246221214248
2023_02_CLE_PIT,2023,2,3.5798372235017184,3.571316311571668,3.7867725918260264,3.7925094051998975
2023_02_GB_ATL,2023,2,3.432715972996639,3.4236870463897757,3.675468343618593,3.6824077700256987
2023_02_IND_HOU,2023,2,3.794772383231289,3.7920017140062323,3.953725766846388,3.960848234502926
2023_02_KC_JAX,2023,2,3.4956991828017534,3.5039516975135583,3.7213913212371503,3.737771068858807
2023_02_LAC_TEN,2023,2,3.5341031447668705,3.5346324926359736,2.5909980205478202,2.598367553881649
2023_02_LV_BUF,2023,2,4.854819288153374,4.848947018146708,4.8216762659809795,4.836528133634393
2023_02_MIA_NE,2023,2,3.5139744546082383,3.516018560887985,2.9947624578135326,3.0085722911975012
2023_02_MIN_PHI,2023,2,3.4171013303414206,3.4244434509465425,3.655204629393012,3.658451774416923
2023_02_NO_CAR,2023,2,3.4171013303414206,3.405621110208348,2.502652261943247,2.5013662970295796
2023_02_NYG_ARI,2023,2,3.432715972996641,3.4227910727021933,2.509039974441626,2.4979247582552926
2023_02_NYJ_DAL,2023,2,3.9112487730935377,3.910673546055675,4.023010786931425,4.019361149808127
2023_02_SEA_DET,2023,2,3.832059746530113,3.8329877980375633,3.9765166803570176,3.980387251293904
2023_02_SF_LA,2023,2,3.418078543321858,3.418180310281902,2.906679889931052,2.8917124436320982
2023_02_WAS_DEN,2023,2,3.556064780547148,3.5462322149975822,3.7655774655089163,3.7647466743714
2023_03_ATL_DET,2023,3,3.8708966594404663,3.871484502306158,4.0106935240238855,4.015984334069258
2023_03_BUF_WAS,2023,3,5.924160643169933,5.930179928076927,5.848929999932273,5.859008935198313
2023_03_CAR_SEA,2023,3,3.5139744546082405,3.5099271502049483,3.730970745480402,3.7307251741632146
2023_03_CHI_KC,2023,3,4.557112588134232,4.550736987318444,4.5310977289164605,4.5676123806548805
2023_03_DAL_ARI,2023,3,5.238567529303805,5.243900344183217,5.151582467009908,5.233359164201097
2023_03_DEN_MIA,2023,3,8.178412504529557,8.153433107559504,8.444940979785576,8.447790545685331
2023_03_HOU_JAX,2023,3,5.7835401656921315,5.791601427188996,5.699375889959541,5.746876665671125
2023_03_IND_BAL,2023,3,3.832059746530113,3.8314989298059903,2.8041171903271667,2.794223030052854
2023_03_LAC_MIN,2023,3,3.5139744546082383,3.5264304561800683,3.7388427499025974,3.7693850603014765
2023_03_LA_CIN,2023,3,3.4171013303414206,3.4178267004392215,2.5026522619432474,2.5104180474466284
2023_03_NE_NYJ,2023,3,3.441479797252265,3.4217771205958463,3.682896321437502,3.684229059050479
