sample,arm,bin,lower,upper,games,mean_probability,home_win_rate
2022_2024,PRIMARY_COMPACT_FOOTBALL,3,0.30000000000000004,0.4,134,0.3559500654498252,0.30597014925373134
2022_2024,PRIMARY_COMPACT_FOOTBALL,4,0.4,0.5,109,0.4455891389475092,0.42201834862385323
2022_2024,PRIMARY_COMPACT_FOOTBALL,5,0.5,0.6000000000000001,189,0.5553800496860953,0.6455026455026455
2022_2024,PRIMARY_COMPACT_FOOTBALL,6,0.6000000000000001,0.7000000000000001,136,0.64612648493378,0.6764705882352942
2022_2024,PRIMARY_COMPACT_FOOTBALL,7,0.7000000000000001,0.8,109,0.7457283313447427,0.7706422018348624
2022_2024,PRIMARY_COMPACT_FOOTBALL,8,0.8,0.9,40,0.8524236140925044,0.875
2022_2024,PRIMARY_COMPACT_FOOTBALL,9,0.9,1.0,2,0.9271177235750576,1.0
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,0,0.0,0.1,1,0.08404555873859285,0.0
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,1,0.1,0.2,19,0.16766826356770226,0.15789473684210525
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,2,0.2,0.30000000000000004,28,0.2593205982732045,0.2857142857142857
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,3,0.30000000000000004,0.4,36,0.35559013238774667,0.4166666666666667
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,4,0.4,0.5,37,0.44719875025221034,0.4864864864864865
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,5,0.5,0.6000000000000001,44,0.5593863828219602,0.5227272727272727
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,6,0.6000000000000001,0.7000000000000001,41,0.6484609212644936,0.6097560975609756
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,7,0.7000000000000001,0.8,34,0.7507790546043135,0.7058823529411765
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,8,0.8,0.9,27,0.860109951276821,0.9259259259259259
2025_non_pristine,PRIMARY_COMPACT_FOOTBALL,9,0.9,1.0,5,0.9144438942503449,1.0
2022_2024,MARKET_AWARE_DIAGNOSTIC,0,0.0,0.1,1,0.06951810583177312,0.0
2022_2024,MARKET_AWARE_DIAGNOSTIC,1,0.1,0.2,25,0.15937016841990612,0.2
2022_2024,MARKET_AWARE_DIAGNOSTIC,2,0.2,0.30000000000000004,70,0.2545983222499066,0.2857142857142857
